iter	Passed	Remaining
428	1657	2206
429	1661	2202
430	1665	2198
431	1668	2194
432	1672	2190
433	1676	2185
434	1679	2181
435	1683	2177
436	1687	2173
437	1690	2169
438	1694	2165
439	1698	2161
440	1701	2157
441	1705	2153
442	1709	2149
443	1712	2145
444	1717	2141
445	1720	2137
446	1724	2133
447	1728	2129
448	1732	2125
449	1735	2121
450	1739	2117
451	1742	2113
452	1746	2109
453	1750	2105
454	1753	2100
455	1757	2096
456	1760	2092
457	1764	2087
458	1767	2083
459	1771	2079
460	1774	2075
461	1777	2070
462	1781	2066
463	1784	2061
464	1788	2057
465	1791	2053
466	1795	2049
467	1799	2045
468	1803	2041
469	1806	2037
470	1810	2033
471	1813	2029
472	1817	2025
473	1821	2020
474	1824	2016
475	1827	2012
476	1831	2008
477	1835	2004
478	1838	1999
479	1842	1995
480	1845	1991
481	1849	1987
482	1852	1982
483	1856	1978
484	1859	1974
485	1863	1970
486	1867	1966
487	1870	1962
488	1874	1958
489	1878	1954
490	1881	1950
491	1885	1946
492	1889	1943
493	1892	1938
494	1896	1934
495	1899	1930
496	1903	1926
497	1907	1922
498	1911	1919
499	1914	1914
500	1918	1911
501	1922	1906
502	1925	1902
503	1928	1898
504	1932	1893
505	1935	1889
506	1939	1885
507	1943	1881
508	1946	1877
509	1950	1873
510	1953	1869
511	1957	1865
512	1960	1861
513	1964	1857
514	1968	1854
515	1972	1849
516	1976	1846
517	1979	1842
518	1983	1838
519	1987	1834
520	1990	1830
521	1994	1826
522	1998	1822
523	2002	1818
524	2006	1815
525	2009	1811
526	2014	1807
527	2017	1803
528	2021	1800
529	2025	1796
530	2029	1792
531	2033	1789
532	2037	1785
533	2041	1781
534	2044	1777
535	2048	1773
536	2052	1769
537	2055	1765
538	2059	1761
539	2062	1757
540	2066	1753
541	2070	1749
542	2073	1745
543	2077	1741
544	2080	1737
545	2084	1733
546	2087	1729
547	2091	1725
548	2095	1721
549	2099	1717
550	2103	1714
551	2107	1710
552	2111	1707
553	2115	1703
554	2119	1699
555	2124	1696
556	2127	1692
557	2131	1688
558	2135	1684
559	2139	1681
560	2143	1677
561	2147	1673
562	2151	1670
563	2155	1666
564	2159	1662
565	2163	1658
566	2167	1654
567	2170	1651
568	2174	1646
569	2177	1642
570	2181	1639
571	2185	1635
572	2189	1631
573	2193	1627
574	2197	1624
575	2201	1620
576	2205	1617
577	2209	1613
578	2213	1609
579	2216	1605
580	2220	1601
581	2224	1597
582	2228	1593
583	2231	1589
584	2235	1585
585	2238	1581
586	2242	1577
587	2246	1574
588	2250	1570
589	2254	1566
590	2258	1562
591	2261	1558
592	2265	1554
593	2268	1550
594	2272	1546
595	2275	1542
596	2278	1538
597	2282	1534
598	2285	1530
599	2288	1525
600	2292	1521
601	2296	1517
602	2299	1514
603	2303	1510
604	2306	1506
605	2310	1502
606	2314	1498
607	2318	1494
608	2322	1490
609	2326	1487
610	2329	1483
611	2333	1479
612	2337	1475
613	2341	1471
614	2344	1467
615	2348	1463
616	2352	1460
617	2355	1456
618	2359	1452
619	2363	1448
620	2367	1444
621	2371	1441
622	2375	1437
623	2378	1433
624	2382	1429
625	2386	1425
626	2389	1421
627	2393	1417
628	2396	1413
629	2400	1409
630	2403	1405
631	2407	1401
632	2411	1397
633	2415	1394
634	2418	1390
635	2422	1386
636	2426	1382
637	2429	1378
638	2433	1374
639	2436	1370
640	2441	1367
641	2445	1363
642	2449	1359
643	2453	1356
644	2457	1352
645	2460	1348
646	2464	1344
647	2468	1340
648	2472	1337
649	2475	1333
650	2479	1329
651	2483	1325
652	2486	1321
653	2490	1317
654	2494	1313
655	2498	1309
656	2502	1306
657	2505	1302
658	2509	1298
659	2513	1294
660	2517	1290
661	2521	1287
662	2524	1283
663	2529	1279
664	2532	1275
665	2536	1272
666	2540	1268
667	2544	1264
668	2548	1260
669	2551	1256
670	2555	1253
671	2559	1249
672	2563	1245
673	2566	1241
674	2570	1237
675	2574	1234
676	2578	1230
677	2581	1226
678	2585	1222
679	2589	1218
680	2592	1214
681	2597	1210
682	2601	1207
683	2605	1203
684	2609	1199
685	2612	1195
686	2616	1192
687	2619	1188
688	2623	1184
689	2627	1180
690	2630	1176
691	2634	1172
692	2638	1168
693	2641	1164
694	2645	1160
695	2648	1156
696	2652	1153
697	2655	1149
698	2659	1145
699	2662	1141
700	2666	1137
701	2669	1133
702	2673	1129
703	2677	1125
704	2680	1121
705	2684	1118
706	2688	1114
707	2692	1110
708	2695	1106
709	2699	1102
710	2702	1098
711	2706	1094
712	2710	1090
713	2713	1087
714	2717	1083
715	2721	1079
716	2725	1075
717	2729	1071
718	2732	1068
719	2736	1064
720	2739	1060
721	2743	1056
722	2747	1052
723	2750	1048
724	2754	1044
725	2758	1041
726	2762	1037
727	2765	1033
728	2769	1029
729	2772	1025
730	2775	1021
731	2779	1017
732	2783	1013
733	2786	1009
734	2790	1006
735	2794	1002
736	2797	998
737	2801	994
738	2805	990
739	2809	987
740	2813	983
741	2817	979
742	2821	975
743	2825	972
744	2829	968
745	2832	964
746	2837	960
747	2840	957
748	2844	953
749	2847	949
750	2851	945
751	2854	941
752	2858	937
753	2861	933
754	2865	929
755	2869	926
756	2872	922
757	2876	918
758	2880	914
759	2883	910
760	2887	906
761	2890	902
762	2894	898
763	2897	895
764	2901	891
765	2904	887
766	2908	883
767	2912	879
768	2915	875
769	2919	872
770	2923	868
771	2927	864
772	2930	860
773	2934	856
774	2938	852
775	2941	849
776	2945	845
777	2948	841
778	2952	837
779	2955	833
780	2959	829
781	2963	826
782	2966	822
783	2970	818
784	2974	814
785	2977	810
786	2981	806
787	2985	803
788	2988	799
789	2992	795
790	2996	791
791	2999	787
792	3003	783
793	3006	780
794	3010	776
795	3013	772
796	3017	768
797	3021	764
798	3024	760
799	3028	757
800	3031	753
801	3035	749
802	3039	745
803	3042	741
804	3046	737
805	3049	733
806	3052	730
807	3056	726
808	3060	722
809	3063	718
810	3068	715
811	3072	711
812	3075	707
813	3079	703
814	3083	699
815	3086	696
816	3090	692
817	3093	688
818	3097	684
819	3101	680
820	3104	676
821	3108	673
822	3111	669
823	3114	665
824	3117	661
825	3121	657
826	3125	653
827	3129	650
828	3132	646
829	3136	642
830	3139	638
831	3143	634
832	3147	631
833	3151	627
834	3154	623
835	3158	619
836	3162	615
837	3166	612
838	3170	608
839	3173	604
840	3177	600
841	3180	596
842	3184	593
843	3187	589
844	3191	585
845	3195	581
846	3198	577
847	3202	574
848	3206	570
849	3209	566
850	3213	562
851	3217	558
852	3220	555
853	3224	551
854	3228	547
855	3231	543
856	3234	539
857	3238	535
858	3242	532
859	3245	528
860	3248	524
861	3252	520
862	3255	516
863	3258	512
864	3262	509
865	3265	505
866	3268	501
867	3272	497
868	3275	493
869	3279	489
870	3282	486
871	3286	482
872	3290	478
873	3294	474
874	3297	471
875	3301	467
876	3305	463
877	3309	459
878	3312	456
879	3316	452
880	3319	448
881	3323	444
882	3326	440
883	3330	437
884	3334	433
885	3337	429
886	3341	425
887	3344	421
888	3348	418
889	3351	414
890	3355	410
891	3358	406
892	3362	402
893	3365	399
894	3369	395
895	3373	391
896	3377	387
897	3381	384
898	3385	380
899	3389	376
900	3392	372
901	3396	368
902	3399	365
903	3403	361
904	3407	357
905	3411	353
906	3414	350
907	3418	346
908	3421	342
909	3425	338
910	3429	335
911	3432	331
912	3435	327
913	3439	323
914	3443	319
915	3446	316
916	3449	312
917	3452	308
918	3456	304
919	3460	300
920	3463	297
921	3467	293
922	3470	289
923	3474	285
924	3477	281
925	3480	278
926	3484	274
927	3487	270
928	3491	266
929	3494	263
930	3497	259
931	3501	255
932	3505	251
933	3508	247
934	3511	244
935	3515	240
936	3518	236
937	3522	232
938	3525	229
939	3529	225
940	3532	221
941	3536	217
942	3539	213
943	3543	210
944	3546	206
945	3550	202
946	3554	198
947	3557	195
948	3560	191
949	3564	187
950	3567	183
951	3570	180
952	3574	176
953	3578	172
954	3582	168
955	3586	165
956	3590	161
957	3593	157
958	3597	153
959	3601	150
960	3605	146
961	3609	142
962	3613	138
963	3616	135
964	3619	131
965	3623	127
966	3627	123
967	3630	120
968	3634	116
969	3637	112
970	3641	108
971	3645	105
972	3648	101
973	3651	97
974	3655	93
975	3659	89
976	3662	86
977	3666	82
978	3670	78
979	3674	74
980	3677	71
981	3681	67
982	3685	63
983	3689	59
984	3693	56
985	3696	52
986	3700	48
987	3704	44
988	3707	41
989	3711	37
990	3715	33
991	3719	29
992	3723	26
993	3727	22
994	3730	18
995	3734	14
996	3738	11
997	3742	7
998	3746	3
999	3750	0
